358_cause_recode,count
6,28
7,2
9,1
10,7545
11,2745
13,428
14,147
18,3
20,26
21,3
22,80
23,34865
24,1771
27,2
28,16
29,10
30,2
31,2
33,10
35,13
38,1
39,9
41,65
42,190
43,170
45,2
46,1
47,7579
49,3103
50,694
51,944
52,1588
53,2077
54,1058
56,985
58,11
60,3
61,122
62,19
64,1
65,21
66,39
67,309
68,1035
72,69
73,2127
74,3355
75,2933
77,14506
78,11415
79,1220
81,42056
82,9807
83,814
85,15568
86,4774
87,3629
88,36926
89,1263
91,495
92,3695
93,158425
94,465
95,56
96,1385
98,9166
99,2938
101,2576
102,36
103,5224
104,41477
106,1365
107,3944
108,8413
109,14584
110,475
111,18
113,28596
114,399
115,317
117,13228
118,14743
119,778
120,284
122,13945
123,239
124,2415
125,39559
127,1234
129,20322
130,68
131,302
132,11137
134,6439
135,10933
136,131
137,5120
139,7
140,22
142,42
143,839
144,489
145,12519
146,1027
149,272
150,839
151,941
152,2812
153,2666
154,822
155,1438
158,1822
159,69154
160,195
161,247
162,3
163,531
166,49
167,2741
168,158
169,5550
171,461
172,5716
173,12389
175,108637
176,1539
178,6498
179,2080
180,462
181,704
182,138
183,420
184,415
186,610
187,721
188,22035
189,83510
190,3655
191,1609
192,153
193,1572
194,27299
195,53
196,65
199,29
201,1433
202,67
203,664
204,796
206,17293
207,33797
208,9373
209,2811
211,122281
212,4180
214,57720
215,196116
218,7340
219,6553
221,1106
222,776
224,2279
225,15285
226,5226
227,23760
228,44335
230,52288
231,5490
232,673
233,13724
235,5398
236,27854
237,6522
238,68416
239,21493
241,7233
242,10464
243,8765
245,3135
246,1125
249,22
250,27
251,107
253,501
255,171
256,2819
257,46670
259,177
260,36
261,457
264,340
265,281
266,10048
267,123065
268,3412
269,1018
271,845
273,17019
274,2
275,84
276,685
277,997
278,28854
280,432
282,2051
284,911
285,1136
286,903
287,33
288,286
289,591
290,415
291,1834
292,918
293,14255
294,2890
295,3838
296,1785
298,16026
299,81
300,15864
301,11042
302,3337
304,3424
305,1660
306,7768
308,2013
309,1984
311,2423
312,1197
313,4269
314,1194
315,1468
317,1108
318,1680
323,70
324,133
325,5861
326,1064
327,44388
328,367
329,56
330,10906
331,1709
333,489
334,255
335,54
337,137
338,228
341,21
342,4
343,5
345,7
347,46
348,39
350,49
351,53
352,228
353,37
354,152
355,188
357,2941
358,4176
359,24
360,324
361,515
362,833
363,776
364,2567
366,297
367,180
368,788
369,2590
370,620
371,435
372,2925
373,826
374,1035
376,5933
378,2063
379,11562
380,19055
384,430
386,2407
387,570
388,4306
390,8
391,87
392,2200
393,5464
394,140
395,2244
396,1051
397,17113
398,1
399,612
400,406
401,486
402,732
404,10335
405,3525
406,12220
407,608
408,154
409,3862
410,4578
411,1600
412,312
414,2793
415,66
416,29
417,35
418,88
420,30072
421,2394
422,675
423,10030
425,5306
426,279
427,1026
428,9522
429,19408
430,788
431,2112
433,79
434,547
435,11113
436,1802
437,65
438,58
440,200
441,2448
443,2966
444,136
445,98
446,253
447,51
448,1430
450,41
451,373
452,9
454,427
455,134
456,1935
